,word,lemma,onset,offset,logfreq,pos,section,top_down,bottom_up,left_corner,sentence_id,new-disc-stack-lc,new-disc-stack-lc-rev,new-disc-stack-bu,new-disc-stack-bu-rev,new-disc-pred-td,new-disc-pred-td-rev,new-disc-changed-lc,new-disc-changed-lc-rev,new-disc-changed-bu,new-disc-changed-bu-rev,new-disc-changed-td,new-disc-changed-td-rev,new-disc-old-lc,new-disc-old-rev,new-disc-old-td,new-disc-old-bu,new-disc-filler-gap,new-disc-filler-gap-only-filler,new-disc-filler-gap-only-gap,new-disc-filler-gap-only-rule-1,new-disc-filler-gap-only-rule-2,new-disc-filler-gap-only-rule-3,new-disc-filler-gap-only-rule-4,new-disc-filler-gap-only-rule-5,new-disc-filler-gap-only-rule-6,new-disc-filler-gap-only-rule-7,new-proj-stack-lc,new-proj-stack-lc-rev,new-proj-stack-bu,new-proj-stack-bu-rev,new-proj-pred-td,new-proj-pred-td-rev,new-proj-changed-lc,new-proj-changed-lc-rev,new-proj-changed-bu,new-proj-changed-bu-rev,new-proj-changed-td,new-proj-changed-td-rev,new-proj-old-lc,new-proj-old-rev,new-proj-old-td,new-proj-old-bu,new-proj-filler-gap,new-proj-filler-gap-only-filler,new-proj-filler-gap-only-gap,new-proj-filler-gap-only-rule-1,new-proj-filler-gap-only-rule-2,new-proj-filler-gap-only-rule-3,new-proj-filler-gap-only-rule-4,new-proj-filler-gap-only-rule-5,new-proj-filler-gap-only-rule-6,new-proj-filler-gap-only-rule-7
0,当,当,0.0,0.14,8.529402948041533,ADP,1,3,1,2,1,1,1,1,1,1,1,2,2,1,1,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,1,1,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1,我,我,0.14,0.25,10.534098233242508,PRON,1,5,2,3,1,2,2,2,2,1,1,2,2,1,1,5,5,1,1,3,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,1,1,2,2,1,1,5,5,1,1,3,0,0,0,0,0,0,0,0,0,0,0
2,还,还,0.25,0.43,9.872623675554896,ADV,1,3,2,3,1,3,3,3,3,1,1,2,2,1,1,4,4,1,1,2,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,1,1,2,2,1,1,4,4,1,1,2,0,0,0,0,0,0,0,0,0,0,0
3,只有,只有,0.43,0.67,8.511887742377954,ADV,1,2,1,2,1,2,2,3,3,1,1,4,4,2,2,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2,2,3,3,1,1,4,4,2,2,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0
4,六,六,0.67,0.89,8.93071178299457,NUM,1,2,1,2,1,2,2,4,4,1,1,3,3,1,1,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,2,4,4,1,1,3,3,1,1,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0
5,岁,岁,0.89,1.06,8.167040644609932,NUM,1,2,6,3,1,2,2,2,2,1,1,5,5,4,4,4,4,1,1,0,3,0,0,0,0,0,0,0,0,0,0,2,2,2,2,1,1,5,5,4,4,4,4,1,1,0,3,0,0,0,0,0,0,0,0,0,0
6,的,的,1.06,1.14,13.549001743000456,PART,1,1,2,2,1,1,1,2,2,1,1,4,4,2,2,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2,2,1,1,4,4,2,2,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0
7,时候,时候,1.14,1.58,8.502951457651319,NOUN,1,2,4,3,1,1,1,1,1,0,0,3,3,3,3,3,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,3,3,3,3,3,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0
8,在,在,2.16,2.34,11.76214703363635,VERB,1,3,1,2,2,1,1,1,1,1,1,2,2,1,1,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,1,1,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
9,一,一,2.34,2.44,11.4288871621941,NUM,1,7,2,3,2,2,2,2,2,1,1,2,2,1,1,7,7,1,1,5,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,1,1,2,2,1,1,7,7,1,1,5,0,0,0,0,0,0,0,0,0,0,0
