word,lemma,onset,offset,logfreq,pos,section,top_down,bottom_up,left_corner,sentence_id,surprisal
当,当,0.0,0.14,8.529402948041533,ADP,1,3,1,2,1,2.7974319111758734
我,我,0.14,0.25,10.534098233242508,PRON,1,5,2,3,1,1.6647120370502897
还,还,0.25,0.43,9.872623675554896,ADV,1,3,2,3,1,2.120358223620254
只有,只有,0.43,0.67,8.511887742377954,ADV,1,2,1,2,1,5.843333701876199
六,六,0.67,0.89,8.93071178299457,NUM,1,2,1,2,1,3.69255249281381
岁,岁,0.89,1.06,8.167040644609932,NUM,1,2,6,3,1,1.719284835803521
的,的,1.06,1.14,13.549001743000456,PART,1,1,2,2,1,1.1677809023947223
时候,时候,1.14,1.58,8.502951457651319,NOUN,1,2,4,3,1,6.0261297308072095
在,在,2.16,2.34,11.76214703363635,VERB,1,3,1,2,2,2.1052120338629714
一,一,2.34,2.44,11.4288871621941,NUM,1,7,2,3,2,2.173983983240729
本,本,2.44,2.53,9.000524363102912,DET,1,5,2,3,2,2.349755228568738
描写,描写,2.53,2.93,6.134109286749038,NOUN,1,2,3,3,2,5.039004479054985
原始,原始,2.93,3.25,6.904483933963076,ADJ,1,2,2,2,2,7.798203720529542
森林,森林,3.25,3.69,6.496139796034242,NOUN,1,2,3,3,2,7.132926311308276
的,的,3.69,3.79,13.549001743000456,PART,1,1,2,2,2,0.3417629579473581
名,名,4.16,4.3,8.351761553510602,NOUN,1,2,3,3,2,3.1604102262826315
叫,叫,4.3,4.46,6.116971013472702,VERB,1,2,1,2,2,3.844416109668013
真实,真实,4.46,4.84,7.367570305240154,ADJ,1,5,3,4,2,4.74350854497248
的,的,4.84,4.9,13.549001743000456,PART,1,1,2,2,2,0.1457366609227025
故事,故事,4.9,5.22,7.543595858252328,NOUN,1,2,5,3,2,6.867115313649121
的,的,5.22,5.31,13.549001743000456,PART,1,1,2,2,2,1.4231497982770338
书,书,5.31,5.51,8.321374638581034,NOUN,1,2,3,3,2,1.2323913428034985
中,中,5.51,5.71,11.01019816111366,PART,1,1,3,2,2,2.4386752428033733
看到,看到,6.05,6.32,0.1231021971339834,VERB,1,2,1,2,3,5.4122156570289786
了,了,6.32,6.4,11.717088826693631,PART,1,1,1,1,3,1.9744348310349733
一,一,6.4,6.48,11.4288871621941,NUM,1,3,1,2,3,1.8600677548110047
幅,幅,6.48,6.64,5.254480414942203,NUM,1,2,3,3,3,4.663365019851734
精彩,精彩,6.64,6.97,4.9689309659897365,VERB,1,4,3,4,3,5.031179038901251
的,的,6.97,7.06,13.549001743000456,PART,1,1,2,2,3,1.3753639877604225
插画,插画,7.06,7.47,1.6187940073581253,NOUN,1,2,6,3,3,5.724293958129323
画,画,8.02,8.24,5.856540756976389,VERB,1,6,3,4,4,3.138795975931977
的,的,8.24,8.44,13.549001743000456,PART,1,1,3,2,4,1.3052466380642849
是,是,8.76,8.94,11.813576063887458,VERB,1,2,1,2,4,2.04750630611739
一,一,8.94,9.02,11.4288871621941,NUM,1,4,1,2,4,1.899816609356697
条,条,9.02,9.2,8.22961937977071,NUM,1,2,3,3,4,2.7996632272706625
蟒蛇,蟒蛇,9.2,9.73,-2.9759296462578115,NOUN,1,2,3,3,4,8.763399035386305
正在,正在,9.87,10.11,7.636880902984179,ADV,1,3,2,3,4,5.687160364480143
吞食,吞食,10.11,10.53,1.218171523725749,VERB,1,2,1,2,4,6.689950356657856
一,一,10.53,10.66,11.4288871621941,NUM,1,3,1,2,4,2.3334003980436484
只,只,10.66,10.78,8.687318340146405,NUM,1,2,3,3,4,2.924241091377344
大,大,10.78,10.94,10.223760246520028,ADJ,1,2,2,2,4,3.3559704169566085
野兽,野兽,10.94,11.3,3.396653741612283,NOUN,1,2,8,3,4,7.87114965797894
页头,页头,12.11,12.46,-inf,NOUN,1,4,2,3,5,7.022396609319955
上,上,12.46,12.69,10.760238470227222,PART,1,1,2,2,5,2.551006332893151
就,就,12.92,13.06,10.143313771089671,ADV,1,3,2,3,5,2.825903327962008
是,是,13.06,13.16,11.813576063887458,VERB,1,2,1,2,5,2.563630675830082
那,那,13.16,13.29,8.880679246981725,DET,1,5,1,2,5,3.011570043249728
幅,幅,13.29,13.43,5.254480414942203,NUM,1,2,3,3,5,3.8136990908132526
画,画,13.43,13.58,5.856540756976389,NOUN,1,2,3,3,5,2.514863030859248
的,的,13.58,13.7,13.549001743000456,PART,1,1,2,2,5,3.954430272182553
摹本,摹本,13.7,14.07,-0.034591444769619,NOUN,1,2,6,3,5,7.7968365799444275
这,这,14.98,15.11,11.129278789292488,DET,1,5,1,2,6,1.9479428615813617
本,本,15.11,15.23,9.000524363102912,NUM,1,2,3,3,6,2.2383097111708263
书,书,15.23,15.4,8.321374638581034,NOUN,1,2,3,3,6,1.4994025085267353
中,中,15.4,15.53,11.01019816111366,PART,1,1,2,2,6,2.563375375921256
写道,写道,15.53,15.91,5.634443114577581,VERB,1,2,1,2,6,5.215899616179803
这些,这些,16.44,16.7,9.35458442856651,DET,1,4,2,3,7,5.769175815855807
蟒蛇,蟒蛇,16.7,17.23,-2.9759296462578115,NOUN,1,2,3,3,7,7.8417599948619
把,把,17.23,17.43,9.380520434905035,X,1,2,1,2,7,3.9361412702977705
它们,它们,17.43,17.67,8.179734148061376,PRON,1,6,2,3,7,4.484146702391648
的,的,17.67,17.75,13.549001743000456,PART,1,1,2,2,7,1.961095550202417
猎获物,猎物,17.75,18.35,2.6918530661996387,NOUN,1,2,3,3,7,13.163098682959067
不,不,18.45,18.55,10.967124178394917,ADV,1,5,2,3,7,2.7598546287033168
加,加,18.55,18.71,8.21127219644446,VERB,1,2,1,2,7,3.891086680116658
咀嚼,咀嚼,18.71,19.03,2.340458745422127,VERB,1,2,4,3,7,8.892609867850362
地,地,19.03,19.13,10.18742007921881,PART,1,1,2,2,7,3.449785181199099
囫囵,囫囵,19.13,19.47,-2.617295837833746,VERB,1,3,2,3,7,8.211799783451523
吞,吞,19.47,19.68,2.762159526749242,VERB,1,2,1,2,7,0.9208538729240492
下,下,19.68,19.93,9.7626488406527,VERB,1,1,5,2,7,3.319778830369746
尔后,尔后,20.47,20.87,3.5094237867330267,ADV,1,3,2,3,8,6.95263320292618
就,就,21.11,21.23,10.143313771089671,ADV,1,3,2,3,8,2.6018627462189454
不,不,21.23,21.35,10.967124178394917,ADV,1,3,2,3,8,1.7896296426366105
能,能,21.35,21.5,9.42263949445072,VERB,1,2,1,2,8,2.65823190410639
再,再,21.5,21.62,8.405616059244041,ADV,1,3,2,3,8,2.41630942998295
动弹,动弹,21.62,21.95,2.6171038193993863,VERB,1,2,1,2,8,10.402770226287707
了,了,21.95,22.09,11.717088826693631,PART,1,1,12,2,8,3.9843666625861514
它们,它们,22.83,23.04,8.179734148061376,PRON,1,3,2,3,9,6.069699394919198
就,就,23.04,23.17,10.143313771089671,ADV,1,3,2,3,9,2.39991712384554
在,在,23.17,23.3,11.76214703363635,VERB,1,3,1,2,9,1.6556470092870312
长长,长长,23.3,23.75,3.967968461710194,NOUN,1,5,2,3,9,5.008755493406286
的,的,23.75,23.83,13.549001743000456,PART,1,1,2,2,9,0.8416252129628896
六,六,23.83,24.03,8.93071178299457,NUM,1,5,1,2,9,3.87827289069406
个,个,24.03,24.14,10.347959152135804,NUM,1,2,3,3,9,2.7863796864765185
月,月,24.14,24.24,10.484922979849571,NOUN,1,2,3,3,9,3.5760891071758403
的,的,24.24,24.34,13.549001743000456,PART,1,1,2,2,9,1.0105997574816483
睡眠,睡眠,24.34,24.77,3.872346188275248,NOUN,1,2,4,3,9,7.254122677445838
中,中,24.77,24.97,11.01019816111366,PART,1,1,3,2,9,2.4403503742532244
消化,消化,25.2,25.62,5.088466327050102,VERB,1,2,1,2,9,7.816549969612638
这些,这些,25.62,25.88,9.35458442856651,DET,1,2,1,2,9,5.373341327023281
食物,食物,25.88,26.22,5.663502000154177,NOUN,1,2,7,3,9,3.7643792250699297
当时,当时,27.27,27.71,8.441990004348938,NOUN,1,3,2,3,10,5.728154815900913
我,我,28.23,28.35,10.534098233242508,PRON,1,2,2,2,11,1.6865386857575142
对,对,28.35,28.45,10.687452473351607,ADP,1,3,1,2,11,2.5168885431125303
丛林,丛林,28.45,28.74,3.1294761436035867,NOUN,1,5,2,3,11,7.233588097760645
中,中,28.74,28.85,11.01019816111366,PART,1,1,2,2,11,2.603254500030851
的,的,28.85,28.97,13.549001743000456,PART,1,1,2,2,11,0.4804075069344578
奇遇,奇遇,28.97,29.27,0.8754687373538999,NOUN,1,2,4,3,11,7.7596837022626
想,想,29.27,29.47,8.367560058756213,VERB,1,3,1,2,11,2.6542272600015577
得,得,29.47,29.55,8.835887911676375,PART,1,3,4,4,11,3.1859239148337246
很,很,29.55,29.8,9.553131814577668,ADV,1,3,2,3,11,1.8456291418456163
多,多,29.8,30.03,9.815063523678072,ADV,1,2,6,3,11,3.396431416731537
于是,于是,30.68,31.05,6.920148168912099,ADV,1,3,2,3,12,4.715857867604481
我,我,31.35,31.48,10.534098233242508,PRON,1,2,2,2,13,1.6865386857575142
也,也,31.48,31.63,10.523259496272392,ADV,1,3,2,3,13,2.190732526687297
用,用,31.63,31.77,9.219764623880025,ADP,1,2,1,2,13,2.476884421845745
彩色,彩色,31.77,32.08,4.609560534289384,ADJ,1,3,2,3,13,5.913977841098237
铅笔,铅笔,32.08,32.47,2.648441729496899,NOUN,1,2,4,3,13,7.0652055315313405
画,画,32.65,32.79,5.856540756976389,VERB,1,3,2,3,13,2.147151442656271
出,出,32.79,32.96,9.616849668063612,VERB,1,2,1,2,13,2.6749775765661403
了,了,32.96,33.06,11.717088826693631,PART,1,1,1,1,13,0.8640147520542807
我,我,33.06,33.17,10.534098233242508,PRON,1,4,2,3,13,0.9529883865533546
的,的,33.17,33.26,13.549001743000456,PART,1,1,2,2,13,1.2367824491931605
第一,第一,33.26,33.55,2.2220255851356288,NUM,1,2,1,2,13,4.846322665824182
幅,幅,33.55,33.69,5.254480414942203,NUM,1,2,3,3,13,3.5233166136717746
图画,图画,33.69,34.13,4.077554392914626,VERB,1,2,7,3,13,5.280604065694785
我,我,34.63,34.78,10.534098233242508,PRON,1,5,2,3,14,1.6865386857575142
的,的,34.78,34.96,13.549001743000456,PART,1,1,2,2,14,1.4587933924936805
第一,第一,35.15,35.4,2.2220255851356288,NUM,1,3,1,2,14,4.121964164043291
号,号,35.4,35.58,7.533595309285531,NUM,1,2,3,3,14,4.034009019206311
作品,作品,35.58,35.98,8.013916006367577,NOUN,1,2,4,3,14,6.697671771376756
它,它,36.61,36.75,9.65190170170917,PRON,1,3,2,3,15,2.858175138815452
是,是,36.75,36.89,11.813576063887458,VERB,1,2,1,2,15,2.075133588180684
这样,这样,36.89,37.22,9.279369482806482,VERB,1,3,2,3,15,4.777010765087328
的,的,37.22,37.38,13.549001743000456,PART,1,1,5,2,15,1.80421017684443
