chapter	section	section_time_onset	section_time_offset	whole_time_onset	whole_time_offset	sentence_id	token_id	token	surprisal	maybe_mismatch
1	1	0.113	0.728	0.113	0.728	1	1	Once	0	FALSE
1	1	0.728	0.919	0.728	0.919	1	2	when	8.462531	FALSE
1	1	0.919	1.025	0.919	1.025	1	3	I	2.585655	FALSE
1	1	1.025	1.158	1.025	1.158	1	4	was	2.780438	FALSE
1	1	1.158	1.464	1.158	1.464	1	5	six	7.878005	FALSE
1	1	1.464	1.671	1.464	1.671	1	6	years	1.533265	FALSE
1	1	1.671	1.973	1.671	1.973	1	7	old	0.018989	FALSE
1	1	2.342	2.48	2.342	2.48	1	8	I	2.377144	FALSE
1	1	2.48	2.687	2.48	2.687	1	9	saw	5.33258	FALSE
1	1	2.687	2.851	2.687	2.851	1	10	a	1.506015	FALSE
1	1	2.851	3.723	2.851	3.723	1	11	magnificent	12.620919	FALSE
1	1	3.723	4.297	3.723	4.297	1	12	picture	6.083121	FALSE
1	1	4.297	4.357	4.297	4.357	1	13	in	4.849536	FALSE
1	1	4.357	4.437	4.357	4.437	1	14	a	2.534068	FALSE
1	1	4.437	4.725	4.437	4.725	1	15	book	4.633822	FALSE
1	1	4.725	4.947	4.725	4.947	1	16	about	4.471078	FALSE
1	1	4.947	5.053	4.947	5.053	1	17	the	2.68467	FALSE
1	1	5.053	5.634	5.053	5.634	1	18	prime	14.229799	FALSE
1	1	5.634	6.247	5.634	6.247	1	20	forest	5.220849	FALSE
1	1	6.247	6.827	6.247	6.827	1	21	called	7.044749	FALSE
1	1	6.827	7.277	6.827	7.277	1	22	Real	14.122761	FALSE
1	1	7.277	7.567	7.277	7.567	1	23	life	14.546202	FALSE
1	1	7.567	8.339	7.567	8.339	1	24	Stories	11.448547	FALSE
1	1	9.247	9.432	9.247	9.432	2	1	It	0	FALSE
1	1	9.432	9.755	9.432	9.755	2	2	showed	11.408548	FALSE
1	1	9.755	9.812	9.755	9.812	2	3	a	3.670457	FALSE
1	1	9.812	10.176	9.812	10.176	2	4	bo	14.814967	FALSE
1	1	10.176	10.876	10.176	10.876	2	6	const	0.180586	FALSE
1	1	10.876	11.487	10.876	11.487	2	9	swallowing	12.254102	FALSE
1	1	11.487	11.592	11.487	11.592	2	10	a	1.91285	FALSE
1	1	11.592	12	11.592	12	2	11	wild	8.773076	FALSE
1	1	12	12.416	12	12.416	2	12	animal	5.100069	FALSE
1	1	13.144	13.344	13.144	13.344	3	1	Here	0	FALSE
1	1	13.344	13.469	13.344	13.469	3	2	is	4.97244	FALSE
1	1	13.469	13.509	13.469	13.509	3	3	a	2.18523	FALSE
1	1	13.509	13.9	13.509	13.9	3	4	copy	7.677118	FALSE
1	1	13.9	13.999	13.9	13.999	3	5	of	0.066448	FALSE
1	1	13.999	14.079	13.999	14.079	3	6	the	1.138179	FALSE
1	1	14.079	14.464	14.079	14.464	3	7	drawing	11.934647	FALSE
1	1	15.86	16.023	15.86	16.023	4	1	It	0	FALSE
1	1	16.023	16.264	16.023	16.264	4	2	said	8.423908	FALSE
1	1	16.264	16.365	16.264	16.365	4	3	in	5.005493	FALSE
1	1	16.365	16.437	16.365	16.437	4	4	the	3.121835	FALSE
1	1	16.437	16.755	16.437	16.755	4	5	book	7.423139	FALSE
1	1	17.219	17.584	17.219	17.584	4	6	Bo	18.032641	FALSE
1	1	17.584	18.322	17.584	18.322	4	8	const	10.586697	FALSE
1	1	18.322	18.812	18.322	18.812	4	11	swallow	17.099253	FALSE
1	1	18.812	18.984	18.812	18.984	4	12	their	4.493195	FALSE
1	1	18.984	19.458	18.984	19.458	4	13	prey	2.380971	FALSE
1	1	19.458	19.913	19.458	19.913	4	14	whole	7.796355	FALSE
1	1	19.913	20.334	19.913	20.334	4	15	without	7.160731	FALSE
1	1	20.334	20.902	20.334	20.902	4	16	chewing	5.471669	FALSE
1	1	21.561	21.876	21.561	21.876	5	1	Then	0	FALSE
1	1	21.876	22.006	21.876	22.006	5	2	they	7.245983	FALSE
1	1	22.006	22.106	22.006	22.106	5	3	are	4.436577	FALSE
1	1	22.106	22.306	22.106	22.306	5	4	not	4.244087	FALSE
1	1	22.306	22.566	22.306	22.566	5	5	able	6.762655	FALSE
1	1	22.566	22.706	22.566	22.706	5	6	to	0.020831	FALSE
1	1	22.706	23.371	22.706	23.371	5	7	move	6.992788	FALSE
1	1	23.371	23.626	23.371	23.626	5	8	and	5.897415	FALSE
1	1	23.626	23.745	23.626	23.745	5	9	they	3.177815	FALSE
1	1	23.745	24.149	23.745	24.149	5	10	sleep	10.733725	FALSE
1	1	24.149	24.256	24.149	24.256	5	11	for	5.25704	FALSE
1	1	24.256	24.356	24.256	24.356	5	12	the	5.072753	FALSE
1	1	24.356	24.786	24.356	24.786	5	13	six	11.469852	FALSE
1	1	24.786	25.135	24.786	25.135	5	14	months	3.129823	FALSE
1	1	25.135	25.226	25.135	25.226	5	15	it	6.063874	FALSE
1	1	25.226	25.496	25.226	25.496	5	16	takes	0.388722	FALSE
1	1	25.496	25.606	25.496	25.606	5	17	for	3.506084	FALSE
1	1	25.606	26.339	25.606	26.339	5	18	digestion	14.889113	FALSE
1	1	27.292	27.777	27.292	27.777	6	1	So	0	FALSE
1	1	27.777	27.887	27.777	27.887	6	2	I	5.783356	FALSE
1	1	27.887	28.167	27.887	28.167	6	3	thought	6.083566	FALSE
1	1	28.167	28.266	28.167	28.266	6	4	a	7.432355	FALSE
1	1	28.266	28.487	28.266	28.487	6	5	lot	1.794423	FALSE
1	1	28.487	28.737	28.487	28.737	6	6	about	0.767397	FALSE
1	1	28.737	28.854	28.737	28.854	6	7	the	3.395232	FALSE
1	1	28.854	29.387	28.854	29.387	6	8	adventures	15.388771	FALSE
1	1	29.387	29.474	29.387	29.474	6	9	of	1.940565	FALSE
1	1	29.474	29.587	29.474	29.587	6	10	the	2.717873	FALSE
1	1	29.587	30.101	29.587	30.101	6	11	jungle	13.153248	FALSE
1	1	30.296	30.548	30.296	30.548	6	12	and	3.392466	FALSE
1	1	30.548	30.734	30.548	30.734	6	13	in	8.399677	FALSE
1	1	30.734	31.394	30.734	31.394	6	14	turn	9.033398	FALSE
1	1	31.394	31.6	31.394	31.6	6	15	I	3.598619	FALSE
1	1	31.6	32.13	31.6	32.13	6	16	managed	11.361755	FALSE
1	1	32.13	32.231	32.13	32.231	6	17	with	12.207479	FALSE
1	1	32.231	32.286	32.231	32.286	6	18	a	3.427857	FALSE
1	1	32.286	32.6	32.286	32.6	6	19	colored	15.739962	FALSE
1	1	32.6	33.125	32.6	33.125	6	20	pencil	3.449479	FALSE
1	1	33.399	33.524	33.399	33.524	6	21	to	2.595116	FALSE
1	1	33.524	33.764	33.524	33.764	6	22	make	3.395066	FALSE
1	1	33.764	34.034	33.764	34.034	6	23	my	4.924545	FALSE
1	1	34.034	34.414	34.034	34.414	6	24	first	3.988603	FALSE
1	1	34.414	34.824	34.414	34.824	6	25	drawing	6.638376	FALSE
1	1	35.258	35.463	35.258	35.463	7	1	My	0	FALSE
1	1	35.463	35.876	35.463	35.876	7	2	Drawing	18.160686	FALSE
1	1	35.876	36.363	35.876	36.363	7	3	Number	12.708968	FALSE
1	1	36.363	36.647	36.363	36.647	7	4	one	9.547351	FALSE
1	1	37.186	37.311	37.186	37.311	8	1	It	0	FALSE
1	1	37.311	37.631	37.311	37.631	8	2	looked	11.078253	FALSE
1	1	37.631	37.891	37.631	37.891	8	3	like	0.713464	FALSE
1	1	37.891	38.326	37.891	38.326	8	4	this	5.398921	FALSE
1	1	39.608	39.791	39.608	39.791	9	1	I	0	FALSE
1	1	39.791	40.103	39.791	40.103	9	2	showed	11.708377	FALSE
1	1	40.103	40.273	40.103	40.273	9	3	my	4.863122	FALSE
1	1	40.273	40.943	40.273	40.943	9	4	masterpiece	14.758627	FALSE
